时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化
1/23/2017,1,5,5,122,,
1/23/2017,1,6,6,90,,
1/23/2017,1,7,7,100,,
1/23/2017,1,8,8,149,,
1/23/2017,1,9,9,41,,
1/23/2017,1,10,10,146,,
1/23/2017,1,11,11,115,,
1/23/2017,1,12,12,107,,
1/23/2017,1,13,13,37,,
1/23/2017,1,14,14,63,,
1/23/2017,1,15,15,101,,
1/23/2017,1,16,16,48,,
1/23/2017,1,17,17,68,,
1/23/2017,1,18,18,51,,
1/23/2017,1,19,19,102,,
1/23/2017,1,20,20,63,,
1/23/2017,1,21,21,57,,
1/23/2017,1,22,22,54,,
1/23/2017,1,23,23,78,,
1/23/2017,1,24,24,129,,
1/23/2017,1,25,25,41,,
1/23/2017,1,26,26,180,,
1/23/2017,1,27,27,256,,
1/23/2017,1,28,28,118,,
1/23/2017,1,29,29,105,,
1/23/2017,1,30,30,117,,
1/23/2017,1,31,31,64,,
1/23/2017,1,32,32,62,,
1/23/2017,1,33,33,78,,
1/23/2017,1,34,34,89,,
1/23/2017,1,35,35,90,,
1/23/2017,1,36,36,59,,
1/23/2017,1,37,37,42,,
1/23/2017,1,38,38,171,,
1/23/2017,1,39,39,249,,
1/23/2017,1,40,40,225,,
1/23/2017,1,41,41,83,,
1/23/2017,1,42,42,46,,
1/23/2017,1,43,43,26,,
1/23/2017,1,44,44,54,,
1/23/2017,1,45,45,48,,
1/23/2017,1,46,46,252,,
1/23/2017,1,47,47,116,,
1/23/2017,1,48,48,82,,
1/23/2017,1,49,49,150,,
1/23/2017,1,50,50,284,,
1/24/2017,1,1,1,116,,
1/24/2017,1,2,2,120,,
1/24/2017,1,3,3,239,,
1/24/2017,1,4,4,119,,
1/24/2017,1,5,5,169,,
1/24/2017,1,6,6,85,,
1/24/2017,1,7,7,92,,
1/24/2017,1,8,8,174,,
1/24/2017,1,9,9,40,,
1/24/2017,1,10,10,144,,
1/24/2017,1,11,11,124,,
1/24/2017,1,12,12,173,,
1/24/2017,1,13,13,40,,
1/24/2017,1,14,14,52,,
1/24/2017,1,15,15,90,,
1/24/2017,1,16,16,49,,
1/24/2017,1,17,17,48,,
1/24/2017,1,18,18,48,,
1/24/2017,1,19,19,75,,
1/24/2017,1,20,20,38,,
1/24/2017,1,21,21,40,,
1/24/2017,1,22,22,34,,
1/24/2017,1,23,23,79,,
1/24/2017,1,24,24,182,,
1/24/2017,1,25,25,67,,
1/24/2017,1,26,26,265,,
1/24/2017,1,27,27,297,,
1/24/2017,1,28,28,88,,
1/24/2017,1,29,29,87,,
1/24/2017,1,30,30,118,,
1/24/2017,1,31,31,74,,
1/24/2017,1,32,32,57,,
1/24/2017,1,33,33,71,,
1/24/2017,1,34,34,106,,
1/24/2017,1,35,35,93,,
1/24/2017,1,36,36,55,,
1/24/2017,1,37,37,33,,
1/24/2017,1,38,38,189,,
1/24/2017,1,39,39,228,,
1/24/2017,1,40,40,201,,
1/24/2017,1,41,41,87,,
1/24/2017,1,42,42,40,,
1/24/2017,1,43,43,27,,
1/24/2017,1,44,44,44,,
1/24/2017,1,45,45,38,,
1/24/2017,1,46,46,340,,
1/24/2017,1,47,47,137,,
1/24/2017,1,48,48,91,,
1/24/2017,1,49,49,109,,
1/24/2017,1,50,50,233,,
1/25/2017,1,1,1,223,,
1/25/2017,1,2,2,244,,
1/25/2017,1,3,3,339,,
1/25/2017,1,4,4,219,,
1/25/2017,1,5,5,341,,
1/25/2017,1,6,6,168,,
1/25/2017,1,7,7,131,,
1/25/2017,1,8,8,161,,
1/25/2017,1,9,9,87,,
1/25/2017,1,10,10,116,,
1/25/2017,1,11,11,103,,
1/25/2017,1,12,12,143,,
1/25/2017,1,13,13,75,,
1/25/2017,1,14,14,84,,
1/25/2017,1,15,15,116,,
1/25/2017,1,16,16,102,,
1/25/2017,1,17,17,66,,
1/25/2017,1,18,18,65,,
1/25/2017,1,19,19,97,,
1/25/2017,1,20,20,36,,
1/25/2017,1,21,21,29,,
1/25/2017,1,22,22,31,,
1/25/2017,1,23,23,73,,
1/25/2017,1,24,24,141,,
1/25/2017,1,25,25,81,,
1/25/2017,1,26,26,265,,
1/25/2017,1,27,27,377,,
1/25/2017,1,28,28,108,,
1/25/2017,1,29,29,107,,
1/25/2017,1,30,30,158,,
1/25/2017,1,31,31,77,,
1/25/2017,1,32,32,50,,
1/25/2017,1,33,33,65,,
1/25/2017,1,34,34,119,,
1/25/2017,1,35,35,91,,
1/25/2017,1,36,36,44,,
1/25/2017,1,37,37,28,,
1/25/2017,1,38,38,108,,
1/25/2017,1,39,39,243,,
1/25/2017,1,40,40,206,,
1/25/2017,1,41,41,108,,
1/25/2017,1,42,42,53,,
1/25/2017,1,43,43,26,,
1/25/2017,1,44,44,42,,
1/25/2017,1,45,45,53,,
1/25/2017,1,46,46,416,,
1/25/2017,1,47,47,182,,
1/25/2017,1,48,48,81,,
1/25/2017,1,49,49,197,,
1/25/2017,1,50,50,210,,
1/26/2017,1,1,1,204,,
1/26/2017,1,2,2,274,,
1/26/2017,1,3,3,341,,
1/26/2017,1,4,4,229,,
1/26/2017,1,5,5,231,,
1/26/2017,1,6,6,158,,
1/26/2017,1,7,7,97,,
1/26/2017,1,8,8,125,,
1/26/2017,1,9,9,112,,
1/26/2017,1,10,10,103,,
1/26/2017,1,11,11,80,,
